accessible,descPoi,city,short,collectionVer,poi,category
1,Guest and resident DJs mix the beats in this intimate vaulted nightclub with 2-dance floors.,Bristol,gb,0.0,Basement 45,Club
0,Contemporary rooms & suites in 2 banks-turned-posh hotel offering a cocktail bar & a chic spa.,Bristol,gb,0.0,Bristol Harbour Hotel & Spa,Hotel
1,Polished 11-storey property offering cosy rooms and casual dining plus a spa and an indoor pool.,Bristol,gb,0.0,Bristol Marriott Hotel City Centre,Hotel
1,Elegant property offering a modern restaurant & refined quarters plus a Roman-style pool and spa.,Bristol,gb,0.0,Bristol Marriott Royal Hotel,Hotel
0,Well-known fast-food chain serving grilled burgers fries & shakes plus breakfast.,Bristol,gb,0.0,Burger King,Fast food
1, The bright open space occupies a former art studio with a reclaimed wooden bar stocked with natural wine and local beers herringbone wooden floors sharing tables topped with fresh flowers and a baby-blue tiled open kitchen.,Bristol,gb,0.0,Dela,Restaurant
1,Great atmosphere & safe environment created by security team. good music and spacious. Best club in Bristol probably.,Bristol,gb,0.0,Gravity Nightclub,Club
0,Fast-food chain known for its buckets of fried chicken plus wings & sides.,Bristol,gb,0.0,KFC,Fast food
0,M Shed located on Princes Wharf in Bristol Harbour is a museum that tells the fascinating history of the city through films and photographs as well as moving personal accounts and artefacts from prehistoric times to today.,Bristol,gb,0.0,M Shed,Museum
0,  Elly Curshen “ columnist cook and owner of the tiny but mighty Pear Cafe. This cosy hole-in-the-wall affair serves up steaming soups hefty frittatas legendary brownies and sandwiches overflowing with ingredients from the surrounding countryside,Bristol,gb,0.0,Pear Cafe,Restaurant
0,Sustainable food warrior Tom Hunt is the chef behind Poco which scooped up Observer Food Monthlys Best Sustainable Restaurant award a few years back and has retained its reputation ever since.,Bristol,gb,0.0,Poco,Restaurant
0,Vast dance club with big-name DJs 7 themed rooms 5 bars and 2 clubs.,Bristol,gb,0.0,PRYZM,Club
1,Head to this bustling  indoor market for local street food like Eat a Pitta (hot pittas stuffed to the brim with the best handmade falafel in the city) Ahh Toots (an art-focused cakery) and Brozen (meticulously crafted ice cream frozen to smooth perfection using liquid nitrogen). ,Bristol,gb,0.0,Saint Nicholas Market,Restaurant
0,Modern multiscreen cinema with digital projection and sound equipment plus a custom party service.,Bristol,gb,0.0,Showcase Cinema de Lux Bristol,Cinema
0,First built in the early 19th century the impressive ss Great Britain has returned to its place of construction in 1970 and has been extensively restored since. The ship itself has been remarkably kept intact and is the obvious star of the museum.,Bristol,gb,0.0,ss Great Britain,Museum
1,Shell of a 12th-century church that survived a WWII bombing on a former Knights Templar church site.,Bristol,gb,0.0,Temple Church,Historic site
1,Contemporary rooms with iPod docks and Nespresso machines in deluxe quayside hotel with river views.,Bristol,gb,0.0,The Bristol Hotel,Hotel
