city,short,collectionVer,poi,loc_x,map,loc_y
Bristol,gb,0.0,Basement 45,399.79999999999995,Central bristol,189.60000000000002
Bristol,gb,0.0,Bristol Harbour Hotel & Spa,125.39999999999998,Central bristol,93.6
Bristol,gb,0.0,Bristol Marriott Royal Hotel,438.5999999999999,Central bristol,575.6
Bristol,gb,0.0,Burger King,160.59999999999997,Central bristol,353.6
Bristol,gb,0.0,Dela,893.0,Central bristol,346.79999999999995
Bristol,gb,0.0,Gravity Nightclub,723.4000000000001,Central bristol,81.19999999999999
Bristol,gb,0.0,KFC,701.0,Central bristol,332.4
Bristol,gb,0.0,M Shed,712.2,Central bristol,574.0
Bristol,gb,0.0,Pear Cafe,504.20000000000005,South bristol,428.4
Bristol,gb,0.0,Poco,304.20000000000005,South bristol,362.79999999999995
Bristol,gb,0.0,Showcase Cinema de Lux Bristol,597.0,South bristol,697.2
Bristol,gb,0.0,Temple Church,763.4000000000001,South bristol,601.2
Bristol,gb,0.0,The Bristol Hotel,168.20000000000005,South bristol,447.6
Bristol,gb,0.0,The Bristol Museum and Art Gallery,709.0,South bristol,178.79999999999995
Bristol,gb,0.0,Vue Cinema Bristol - Cribbs Causeway,549.0,South bristol,294.0
London,gb,0.0,BFI Southbank,64.20000000000005,London west,518.0
London,gb,0.0,CHARLOTTE STREET HOTEL,64.20000000000005,London west,399.6
London,gb,0.0,CHILTERN FIREHOUSE,717.0,London west,342.0
London,gb,0.0,Crouch End Picturehouse,909.0,London west,460.4
London,gb,0.0,David Lean Cinema,768.2,London west,206.0
London,gb,0.0,Empire Walthamstow,950.5999999999999,London west,322.79999999999995
London,gb,0.0,Everyman Muswell Hill,304.20000000000005,London west,311.6
London,gb,0.0,Crouch End Picturehouse,741.0,North London,610.8
London,gb,0.0,Everyman Muswell Hill,464.20000000000005,North London,414.0
London,gb,0.0,HAZLITT'S,613.0,North London,511.6
London,gb,0.0,HOTEL CAFE ROYAL,713.8,North London,370.79999999999995
London,gb,0.0,Leon,187.4000000000001,North London,738.8
London,gb,0.0,Rich Mix,309.0,North London,638.0
London,gb,0.0,The Phoenix Cinema,915.4000000000001,North London,412.4
Haifa,il,0.0,Dan Carmel Haifa Hotel,187.79999999999995,Hadar hacarmel,76.80000000000001
Haifa,il,2.2,Dan Carmel Haifa Hotel,187.79999999999995,Hadar hacarmel,76.80000000000001
Haifa,il,0.0,Dan Panorama Haifa Hotel,135.0,Hadar hacarmel,297.6
Haifa,il,2.2,Dan Panorama Haifa Hotel,135.0,Hadar hacarmel,297.6
Haifa,il,0.0,Ein ElWadi Restaurant,408.6,Hadar hacarmel,20.0
Haifa,il,2.2,Ein ElWadi Restaurant,408.6,Hadar hacarmel,20.0
Haifa,il,0.0,Kishon River Authority,380.6,Hadar hacarmel,296.8
Haifa,il,2.2,Kishon River Authority,380.6,Hadar hacarmel,296.8
Haifa,il,0.0,Shawarma Sabbah,453.4,Hadar hacarmel,139.2
Haifa,il,2.2,Shawarma Sabbah,453.4,Hadar hacarmel,139.2
Haifa,il,0.0,Shrine of the Bb,307.0,Hadar hacarmel,386.4
Haifa,il,2.2,Shrine of the Bb,307.0,Hadar hacarmel,386.4
Haifa,il,0.0,The Museum of Music and Ethnology,713.4,Hadar hacarmel,393.6
Haifa,il,2.2,The Museum of Music and Ethnology,713.4,Hadar hacarmel,393.6
Haifa,il,0.0,University of Haifa International School,828.6,Hadar hacarmel,285.6
Haifa,il,2.2,University of Haifa International School,828.6,Hadar hacarmel,285.6
Haifa,il,0.0,Dan Carmel Haifa Hotel,1467.4,HaMifrats,247.60000000000002
Haifa,il,2.2,Dan Carmel Haifa Hotel,1467.4,HaMifrats,247.60000000000002
Haifa,il,0.0,Dan Panorama Haifa Hotel,1254.6,HaMifrats,385.20000000000005
